algorithm,input_type,n,time_ns,recursion_depth,metric,metric_value
MergeSort,random,100,48053,4,comparisons,623
QuickSort,random,100,153342,4,comparisons,576
MergeSort,sorted,100,8183,4,comparisons,99
QuickSort,sorted,100,99110,4,comparisons,698
MergeSort,reverse,100,57517,4,comparisons,724
QuickSort,reverse,100,61012,4,comparisons,565
MergeSort,duplicate-heavy,100,48684,4,comparisons,596
QuickSort,duplicate-heavy,100,51968,4,comparisons,935
MergeSort,random,500,347636,6,comparisons,4575
QuickSort,random,500,79600,5,comparisons,4684
MergeSort,sorted,500,13150,6,comparisons,499
QuickSort,sorted,500,50316,6,comparisons,4547
MergeSort,reverse,500,131649,6,comparisons,4901
QuickSort,reverse,500,37186,6,comparisons,4722
MergeSort,duplicate-heavy,500,26119,6,comparisons,4432
QuickSort,duplicate-heavy,500,87543,3,comparisons,14113
MergeSort,random,1000,109296,7,comparisons,10490
QuickSort,random,1000,97056,7,comparisons,10165
MergeSort,sorted,1000,9214,7,comparisons,999
QuickSort,sorted,1000,83016,5,comparisons,11323
MergeSort,reverse,1000,73171,7,comparisons,10303
QuickSort,reverse,1000,75094,6,comparisons,10439
MergeSort,duplicate-heavy,1000,91228,7,comparisons,9745
QuickSort,duplicate-heavy,1000,326574,3,comparisons,54759
MergeSort,random,5000,460606,10,comparisons,58636
QuickSort,random,5000,581399,8,comparisons,74080
MergeSort,sorted,5000,47052,10,comparisons,4999
QuickSort,sorted,5000,301515,7,comparisons,72703
MergeSort,reverse,5000,311311,10,comparisons,44337
QuickSort,reverse,5000,232772,8,comparisons,71357
MergeSort,duplicate-heavy,5000,492464,10,comparisons,56256
QuickSort,duplicate-heavy,5000,1494538,3,comparisons,1271837
MergeSort,random,10000,1264972,11,comparisons,127049
QuickSort,random,10000,905468,8,comparisons,156524
MergeSort,sorted,10000,94172,11,comparisons,9999
QuickSort,sorted,10000,437782,8,comparisons,163788
MergeSort,reverse,10000,871917,11,comparisons,93680
QuickSort,reverse,10000,486895,9,comparisons,163009
MergeSort,duplicate-heavy,10000,940020,11,comparisons,121503
QuickSort,duplicate-heavy,10000,7201181,4,comparisons,5033722
MergeSort,random,20000,4504947,12,comparisons,273973
QuickSort,random,20000,1728612,9,comparisons,367067
MergeSort,sorted,20000,1062225,12,comparisons,19999
QuickSort,sorted,20000,839499,10,comparisons,327439
MergeSort,reverse,20000,5192045,12,comparisons,197387
QuickSort,reverse,20000,1085059,9,comparisons,343545
MergeSort,duplicate-heavy,20000,3598387,12,comparisons,262049
QuickSort,duplicate-heavy,20000,24750784,3,comparisons,20079118
DeterministicSelect,random,100,54953,6,comparisons,607
DeterministicSelect,sorted,100,37116,7,comparisons,450
DeterministicSelect,reverse,100,44047,7,comparisons,623
DeterministicSelect,duplicate-heavy,100,18037,5,comparisons,302
DeterministicSelect,random,500,64268,9,comparisons,1895
DeterministicSelect,sorted,500,102295,9,comparisons,2403
DeterministicSelect,reverse,500,42214,9,comparisons,3240
DeterministicSelect,duplicate-heavy,500,18618,7,comparisons,1545
DeterministicSelect,random,1000,88234,10,comparisons,6680
DeterministicSelect,sorted,1000,31899,10,comparisons,4772
DeterministicSelect,reverse,1000,48383,9,comparisons,6747
DeterministicSelect,duplicate-heavy,1000,22274,9,comparisons,3095
DeterministicSelect,random,5000,258670,12,comparisons,33972
DeterministicSelect,sorted,5000,133001,12,comparisons,23335
DeterministicSelect,reverse,5000,190558,12,comparisons,34532
DeterministicSelect,duplicate-heavy,5000,113681,11,comparisons,15472
DeterministicSelect,random,10000,532054,13,comparisons,69308
DeterministicSelect,sorted,10000,306813,13,comparisons,53959
DeterministicSelect,reverse,10000,350530,13,comparisons,65487
DeterministicSelect,duplicate-heavy,10000,241134,12,comparisons,34580
ClosestPair,random,100,754300,7,comparisons,667
ClosestPair,random,500,1227615,9,comparisons,4642
ClosestPair,random,1000,1556852,10,comparisons,10240
ClosestPair,random,5000,6528805,12,comparisons,77444
ClosestPair,random,10000,19641689,13,comparisons,180594
